latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-6.416,-35.318,306.9,3.2,1.7,2017-11-20,0020,T,70,6.0NRT,292,40.3,N
-6.42,-35.347,318.8,3.2,1.7,2017-11-20,0020,T,97,6.0NRT,292.5,91.5,N
-17.621,19.401,304.7,1,1,2017-11-20,0005,A,61,6.0NRT,289.6,7.6,N
-18.689,22.207,314.5,1.2,1.1,2017-11-20,0005,A,5,6.0NRT,291.2,16.1,N
-18.7,22.217,306.7,1.2,1.1,2017-11-20,0005,A,18,6.0NRT,289.3,9.4,N
-18.701,22.21,303.5,1.2,1.1,2017-11-20,0005,A,55,6.0NRT,289.7,8,N
-18.702,22.222,305.3,1.2,1.1,2017-11-20,0005,A,64,6.0NRT,289,9.8,N
-18.706,22.175,321.1,1.2,1.1,2017-11-20,0005,A,100,6.0NRT,288.5,25.6,N
-18.707,22.186,330.7,1.2,1.1,2017-11-20,0005,A,100,6.0NRT,289.9,39.5,N
-18.856,22.392,324,1.2,1.1,2017-11-20,0005,A,100,6.0NRT,290.2,31,N
-18.858,22.404,311.8,1.2,1.1,2017-11-20,0005,A,83,6.0NRT,290.2,16,N
-18.866,22.391,313.8,1.2,1.1,2017-11-20,0005,A,88,6.0NRT,290.7,17.7,N
-18.868,22.402,341.1,1.2,1.1,2017-11-20,0005,A,100,6.0NRT,295.9,61.7,N
-18.869,22.414,313.8,1.2,1.1,2017-11-20,0005,A,88,6.0NRT,289.7,17.1,N
-18.878,22.401,349.1,1.2,1.1,2017-11-20,0005,A,100,6.0NRT,295.3,82.4,N
-18.879,22.413,339.3,1.2,1.1,2017-11-20,0005,A,100,6.0NRT,292.6,57.9,N
-18.889,22.411,317.5,1.2,1.1,2017-11-20,0005,A,95,6.0NRT,290.2,22,N
-19.064,22.738,308.6,1.3,1.1,2017-11-20,0005,A,75,6.0NRT,289.9,14.5,N
-19.578,23.033,303.6,1.4,1.2,2017-11-20,0005,A,53,6.0NRT,291.7,8.6,N
-19.749,23.023,301.4,1.4,1.2,2017-11-20,0005,A,31,6.0NRT,291,6.9,N
-26.552,124.333,332.7,3,1.6,2017-11-20,0120,T,72,6.0NRT,306.5,81.4,D
-26.558,124.363,344,3,1.6,2017-11-20,0120,T,88,6.0NRT,310.3,164.8,D
-26.564,124.392,330.8,3,1.6,2017-11-20,0120,T,55,6.0NRT,313.2,59.2,D
-26.572,124.359,334.6,3,1.6,2017-11-20,0120,T,60,6.0NRT,309.2,84.6,D
-26.579,124.388,334.8,3,1.6,2017-11-20,0120,T,66,6.0NRT,312.3,81.4,D
-26.557,124.356,344.2,3,1.6,2017-11-20,0120,T,89,6.0NRT,309.2,164.2,D
-26.563,124.385,333.3,3,1.6,2017-11-20,0120,T,57,6.0NRT,312.8,70.6,D
-26.578,124.381,335.3,3,1.6,2017-11-20,0120,T,71,6.0NRT,311.6,86.2,D
-26.607,124.374,335.8,3,1.6,2017-11-20,0120,T,75,6.0NRT,311.7,94.7,D
-26.621,124.37,330.9,3,1.6,2017-11-20,0120,T,72,6.0NRT,309.5,64.1,D
-26.628,124.399,328.9,2.9,1.6,2017-11-20,0120,T,63,6.0NRT,310.1,50.4,D
-27.319,125.174,338.1,2.5,1.5,2017-11-20,0120,T,83,6.0NRT,311.9,86,D
-27.333,125.171,328.3,2.5,1.5,2017-11-20,0120,T,67,6.0NRT,309.9,39.4,D
-27.338,125.196,332.3,2.5,1.5,2017-11-20,0120,T,75,6.0NRT,313.4,58,D
-27.796,125.096,346.4,2.5,1.5,2017-11-20,0120,T,91,6.0NRT,309.1,144.9,D
-27.801,125.121,344.6,2.5,1.5,2017-11-20,0120,T,89,6.0NRT,312,131.2,D
-27.806,125.146,325.5,2.5,1.5,2017-11-20,0120,T,53,6.0NRT,311.4,24.5,D
