latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-23.73949,21.0238,303,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,286,1.5,N
-23.74507,21.01192,296.7,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,286,0.9,N
-23.75107,21.0057,304.7,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,286.3,2.3,N
-23.75707,20.99951,300.4,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,286.6,2,N
-23.76348,20.99895,297,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,286.6,1.4,N
-23.78144,20.9804,300.9,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,286.8,1,N
-23.79339,20.96806,297.8,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.1,1.8,N
-23.8062,20.96695,301.8,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.8,2,N
-23.81901,20.96583,304.7,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,288,2.4,N
-23.78185,20.97799,300.6,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,286.5,0.7,N
-23.78786,20.97178,300.8,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,287,1.5,N
-23.80708,20.97003,298.9,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.1,2,N
-23.81948,20.96326,300.7,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.8,1.4,N
-23.81989,20.96887,300.8,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.2,2.3,N
-23.82589,20.96269,303.1,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.8,2.1,N
-23.8263,20.9683,304.2,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.4,1.7,N
-23.82794,20.99077,299.7,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.8,1.2,N
-23.83312,20.97333,299.6,0.5,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.1,1.7,N
-23.83353,20.97896,300,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.9,3.1,N
-23.83435,20.9902,300.9,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.4,1.2,N
-23.84035,20.98399,302.6,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.1,1.8,N
-23.84077,20.98961,305.5,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.6,1.3,N
-23.84118,20.99524,298.9,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.7,1.3,N
-23.8476,20.99465,305.1,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288,1.3,N
-23.84801,21.0003,303.6,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,287.3,2,N
-23.8536,20.98846,301.8,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.4,1,N
-23.85402,20.99408,301.8,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.3,1,N
-23.87023,21.03817,298.5,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,287,1.5,N
-23.46605,16.33893,303.2,0.6,0.5,2017-11-20,0036,N,nominal,1.0NRT,288.5,0.3,N
-23.89425,21.01325,300.9,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.4,2.3,N
-23.89468,21.01892,312.3,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.9,1.9,N
-23.90111,21.01835,305,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,289,1.9,N
-23.89537,21.01305,301.7,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.3,2,N
-23.89577,21.01872,315.1,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,289.2,2,N
-23.89617,21.02438,299.6,0.6,0.7,2017-11-20,0036,N,nominal,1.0NRT,288.7,1.7,N
-25.57638,18.99254,313.9,0.4,0.6,2017-11-20,0036,N,nominal,1.0NRT,288.2,0.1,N
-1.11648,8.80292,307,0.6,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.7,3.2,N
-1.27133,8.72704,311.3,0.6,0.4,2017-11-20,0030,N,nominal,1.0NRT,290.2,3,N
-1.52355,9.9547,329.7,0.5,0.4,2017-11-20,0030,N,nominal,1.0NRT,283.6,3.5,N
-1.95849,9.87574,309.9,0.5,0.4,2017-11-20,0030,N,nominal,1.0NRT,286,1.1,N
-2.07356,9.16428,313.2,0.5,0.4,2017-11-20,0030,N,nominal,1.0NRT,290.1,3.5,N
-3.85942,10.94725,326.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,288.9,1.7,N
-3.86286,10.9467,322.1,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,288.6,1.7,N
-3.91278,10.93573,323.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289,1.3,N
-3.92877,10.92554,307.1,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,288.7,1.1,N
-3.95594,10.96323,311.7,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.2,0.9,N
-4.61475,12.01901,300.5,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,284.6,0.4,N
-4.6172,12.01867,313.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,285.7,1.1,N
-4.74667,11.40768,311,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,285.2,1.8,N
-4.74724,11.41126,303.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,287.5,1.8,N
-5.25376,11.84994,314.3,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.6,1.4,N
-5.35127,12.07785,330.6,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.9,2.1,N
-5.27042,11.56595,297.3,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,283,1.4,N
-5.35405,12.07384,307.2,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.4,1,N
-5.3546,12.07733,316.7,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.5,2.1,N
-5.485,12.06777,308.1,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.6,0.7,N
-5.48833,12.06724,306.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,289.4,0.7,N
-5.48896,11.51369,307.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,288.9,2,N
-5.67868,12.26896,329.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,287.8,2,N
-5.67813,12.26549,308.2,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,287.4,1.9,N
-5.87527,12.33722,310.8,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,280.6,1,N
-5.95317,12.165,328,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,290.3,3.5,N
-5.95372,12.16848,329.6,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,290.4,2.9,N
-6.11912,12.33832,301,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,277.1,0.7,N
-13.91901,13.08924,303.1,0.4,0.4,2017-11-20,0030,N,nominal,1.0NRT,278.6,0.3,N
-15.41486,18.31772,301.4,0.6,0.5,2017-11-20,0030,N,nominal,1.0NRT,285.1,0.3,N
-15.43451,18.31522,307.8,0.6,0.5,2017-11-20,0030,N,nominal,1.0NRT,286.1,1.7,N
-15.4364,18.31408,312.3,0.6,0.5,2017-11-20,0030,N,nominal,1.0NRT,285.7,2.1,N
-16.39626,18.4669,302.7,0.6,0.6,2017-11-20,0030,N,nominal,1.0NRT,291.5,1.8,N
-16.39507,18.46692,301.9,0.6,0.6,2017-11-20,0030,N,nominal,1.0NRT,291.4,1.4,N
-16.39574,18.47286,302.5,0.6,0.6,2017-11-20,0030,N,nominal,1.0NRT,291.4,1.7,N
-16.65312,20.32258,301.2,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,290.5,0.6,N
-16.65355,20.32655,302.4,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,290.3,0.6,N
-16.65529,20.34292,302.5,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,289.6,1,N
-16.66013,20.33406,333.9,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,291.3,4.3,N
-17.04616,19.53761,301.5,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,290.1,0.6,N
-16.8492,17.41259,302.2,0.5,0.5,2017-11-20,0030,N,nominal,1.0NRT,285.4,0.2,N
-16.88932,17.27257,297.9,0.5,0.5,2017-11-20,0030,N,nominal,1.0NRT,285.3,0.5,N
-16.80731,14.31651,304.9,0.5,0.4,2017-11-20,0030,N,nominal,1.0NRT,291.5,1.7,N
-17.62165,19.39814,331.1,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,290,4.8,N
