latitude,longitude,brightness
-5.499,145.903,317.4
-8.97,146.593,322.3
-10.94,142.264,315
-12.46,142.07,326.1
-12.99,141.711,322.7
-12.994,141.704,323.2
-15.458,144.575,327.2
-15.379,143.752,324.8
-15.546,144.543,331.2
-15.569,144.544,327.4
-15.77,142.9,334.7
-15.781,142.899,338.9
-15.791,142.897,333.6
-15.908,143.6,330.1
-15.929,143.231,343.4
-16.09,144.155,330.7
-15.984,143.247,338.3
-15.994,143.245,335.5
-16.002,143.231,333.7
-16.004,143.243,338.3
-16.001,143.238,340.5
-16.003,143.25,328.5
-16.25,143.009,341.2
-16.262,143.019,353.7
-16.264,143.032,331.3
-16.275,143.03,369.4
-16.285,143.028,334.6
-16.629,145.171,327.3
-16.638,145.17,328.1
-16.253,142.703,331.6
-16.532,143.532,331.4
-16.534,143.544,330.2
-16.54,143.519,335.7
-16.542,143.53,330.3
-16.323,141.752,328
-16.931,145.275,327.7
-16.933,145.284,333.6
-16.412,141.798,332
-16.411,141.792,326.9
-16.413,141.807,327.4
-16.368,141.48,327.3
-16.83,144.046,332.7
-17.166,144.883,330
-17.054,144.023,330.5
-17.118,143.99,334.8
-17.127,143.988,366.2
-17.129,143.999,336.2
-17.197,144.092,342.3
-17.249,144.419,334
-17.289,144.613,341.7
-16.129,137.099,335.9
-16.135,137.133,329.4
-16.136,137.09,335.4
-16.142,137.124,326.9
-16.149,137.158,326
-17.099,142.379,333.6
-17.483,143.268,332.7
-17.496,143.284,339.3
-17.538,143.288,333.5
-17.644,143.311,332.3
-17.674,143.306,334.3
-17.673,143.3,332.8
-17.685,143.25,338.7
-17.687,143.261,338.5
-17.643,142.615,332.1
-17.645,142.627,356.2
-17.649,142.587,338
-17.651,142.6,347.1
-17.654,142.613,346.6
-17.656,142.625,338
-17.646,142.594,336.5
-17.649,142.607,343.2
-17.651,142.62,349.2
-17.653,142.633,351.5
-17.652,142.567,337.8
-17.655,142.58,340.7
-17.657,142.592,340.7
-17.659,142.605,343.2
-17.661,142.618,332.9
-17.661,142.552,366
-17.663,142.565,348
-17.665,142.578,337.1
-17.667,142.591,334.3
-17.675,142.576,334.2
-17.686,142.574,333.2
-17.688,142.587,330.8
-18.146,145.202,323.4
-18.147,145.211,340.2
-18.152,145.24,337.9
-18.153,145.25,368.6
-18.156,145.21,326.8
-18.008,142.972,357.1
-18.01,142.984,349.3
-18.018,142.97,356.1
-18.02,142.982,376.7
-18.061,142.975,340.5
-18.063,142.987,339.4
-18.071,142.973,336.1
-18.073,142.985,354.2
-18.075,142.997,351.3
-18.081,142.971,352
-18.083,142.983,357.3
-18.085,142.995,363.5
